UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Agustiana,@Agustia38595560,2021-05-07T05:58:49.000Z,"Sebagai Masyarakat  yg 
Beradab 
 Layak   kiranya Jika Menngkukuhkan 
 M JUMHUR HIDAYAT
 dan 
DR SYAHGANDA NAINGGOLAN 
  diAnugrahi Pahlawan DEMOKRASI/Pembela  Rakyat 
Krn Pengorbanan dan Kekritisan nya menolak RUU Cipta Kerja Untuk  Kepentingan RAKYAT",,,1,
Agustiana,@Agustia38595560,2021-05-07T05:34:12.000Z,"TERHARU  

 DR Jumhur Hidayat   selepas di Penjara Disambut Kerinfuan  Puzrinya  Kecilnya 
 Mantan Aktipis Mahs ITB 
  Dir  Lembg Szudy  Islam terbesar di Asia .
Eks Penjaba  negara 
 IKLAS  berjuang Sebagai Ket SERIKAT BURUH   kritisi RUU Cipta Kerja",,,2,2
resti.,@restiajalah,2021-05-06T14:01:16.000Z,"Keinget sidang ruu cipta kerja, ini versi onlinenyaKutip Tweet
『Хандик Юувоно』
@AmadeusHY
 · 6 Mei
waw ITB waw",,,,
*Pedang Yang Tajam*,@_Abul_Husam_,2021-05-06T03:39:29.000Z,"Bukti tdk kemapuan pemerintah atas rakyatnya, efek dari kezholiman penguasa atas Omnibus Law RUU Cipta Kerja menjadi undang-undang. setahu saya diboyolali bukannya pemilih terbanyak no. 01 ya waktu pemilihan pilpres 2019, tanyakan lah sama pemimpinya.Kutip Tweet
AnGL
@4ngeLov3d
 · 6 Mei
Makmurkan RAKYAT KECIL
SEJAHTERAKAN RAKYAT SENDIRI

RAKYAT BERHAK MENIKMATI KEKAYAAN BANGSA INI 

*REZIM PRO ASENG",,,,5
iat,@gustaiil,2021-05-05T03:40:44.000Z,"Membalas 
@savanismeJd inget demo ruu cipta kerja. Gub gua kena tangkep, tapi dekan ft langsung datang ke polres dan nyelamatin semua anak2 ft. Lah ini di ui cuci tangan teross kek perusahaan bumn eaaa",,1,9,255
ᴮᴱflamboyanً⁷,@funf_lala,2021-05-04T19:35:55.000Z,"Ingat gk? Ttg RUU cipta kerja, pulau komodo, mafia bola, sel mewah tahanan kpk dll. Isu yg dlu sempat ramai, namun kini sperti berhenti, tanpa tau bagaimana kelanjutannya. Kita kembali sibuk dg dunia kita masing2, tanpa mengawal apa yg kita permasalahkan.",🧈,1,,
Nabi Palsu,@Ozil_Azra,2021-05-04T18:59:04.000Z,"Membalas 
@andalasfessPas ruu cipta kerja,  diajak aksi sama koalisi rakyat sumbar,  bem sb menolak gabung hanya gara2 ga boleh bawa embel2 bem pas aksi.  Wkekwkwk, eksistensi number wan",,1,,1
Belantara,@zaitshalsyabill,2021-05-03T16:24:27.000Z,"Syedaap

Tak Proburuh, Aksi Mahasiswa Palangkaraya Minta RUU Cipta Kerja Dicabut https://kompas.id/baca/nusantara/2021/05/03/tak-pro-buruh-aksi-mahasiswa-palangkaraya-minta-ruu-cipta-kerja-dicabut/?utm_source=kompasid&utm_medium=twitter_shared&utm_content=sosmed&utm_campaign=sharinglink… lewat 
@hariankompasTak Proburuh, Aksi Mahasiswa Palangkaraya Minta RUU Cipta Kerja Dicabut
Mahasiswa Palangkaraya kembali melakukan aksi untuk meminta pemerintah membatalkan UU Cipta Kerja. Kebijakan itu dinilai memperburuk nasib buruh.
kompas.id",,,,
Arie Rompas,@ariexvamrompas,2021-05-03T15:40:50.000Z,"Mahasiswa dan buruh bersatu melawan omnibus law 
Tak Proburuh, Aksi Mahasiswa Palangkaraya Minta RUU Cipta Kerja Dicabut https://kompas.id/baca/nusantara/2021/05/03/tak-pro-buruh-aksi-mahasiswa-palangkaraya-minta-ruu-cipta-kerja-dicabut/?utm_source=kompasid&utm_medium=twitter_shared&utm_content=sosmed&utm_campaign=sharinglink… via 
@hariankompasTak Proburuh, Aksi Mahasiswa Palangkaraya Minta RUU Cipta Kerja Dicabut
Mahasiswa Palangkaraya kembali melakukan aksi untuk meminta pemerintah membatalkan UU Cipta Kerja. Kebijakan itu dinilai memperburuk nasib buruh.
kompas.id",✊ ✊,1,17,59
Pangeran Perang,@Wedhus999,2021-05-03T04:01:23.000Z,"Saat itu, dia menyadari regulasi & aturan yang ada di Tanah Air begitu semrawut.
Pemerintah bersama Dewan Perwakilan Rakyat (DPR) telah memutuskan RUU Cipta Kerja menjadi UU Cipta Kerja. Aturan baru ini disebut sbg sebuah perubahan yg telah lama dinanti utk menggenjot investasi.",,1,,3
