UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
HUMAS POLDA SULTENG,@humaspolsulteng,2020-10-19T06:58:37.000Z,"Disela sela aksi unras penolakan ruu cipta kerja dir sabhara pimpin Sholat Dzuhur berjamaah
#JagaDamaiIndonesia",,,9,9
Zainulloh Muslim,@Lub4b1,2020-10-17T22:01:46.000Z,"Hadirilah!
 DISKUSI AKTUAL 
*Telaah Kritis UU Omnibus Law Cipta Kerja dan Solusi Islam*

Minggu, 18 Oktober 2020
Pukul 08.00--selesai

Pengesahan Omnibus Law RUU Cipta Kerja pada Senin 5 Oktober lalu mendapat penolakan dari berbagai elemen masyarakat, dalam bentuk",🎙 🎙,,3,4
Media Maju,@media_maju,2020-10-12T12:12:37.000Z,#TolakProvokasiKAMIFPI RUU cipta kerja tegas.,,,,
Masiyarah,@masiyarah,2020-10-18T01:27:37.000Z," ISLAMIC LAWYER FORUM #5 : ""UU OMNIBUS LAW CIPTA KERJA, UNTUK SIAPA?""

DPR RI akhirnya ketok palu, menyetujui RUU Omnibus Law Cipta Kerja sebagai Undang-undang, pada 5 Oktober 2020 yang lalu.

RUU atas usulan pemerintah ini, dari awal terkesan terburu-buru dalam prosesnya.",🔴,,,
MutiaAndini,@MutiaAn47390531,2020-10-16T03:40:59.000Z,"Manfaat yang didapatkan para pekerja

#RUUCiptaKerja",,1,,
MutiaAndini,@MutiaAn47390531,2020-10-16T03:40:23.000Z,"Demi mempercepat transformasi ekonomi

#RUUCiptaKerja",,1,,
Veliz Santika,@SantikaVeliz,2020-10-13T03:05:15.000Z,Fakta-fakta RUU Cipta Kerja,,,,
gigineyz,@gigineyz1,2020-10-18T05:58:28.000Z,"RUU Ciptakerja Harapan Para Buruh
#CiptaKerjaBermanfaat",,,,
silviaAnggraini,@silviaA03016926,2020-10-14T11:58:35.000Z,Dengan adanya Omnibus Law RUU Cipta kerja menjadikan Indonesia menjadi lebih baik,,,,1
Kementerian Kominfo,@kemkominfo,2020-10-14T04:13:38.000Z,"SobatKom, sejak awal Pemerintah menyampaikan RUU Cipta Kerja pada 14 Februari 2020, naskahnya sudah bisa diakses di laman resmi https://ekon.go.id/info-sektoral/15/6/dokumen-ruu-cipta-kerja…

#OmnibusLawTransparan
#UntukEkonomiIndonesia",,17,128,103
Rudy Api126,@RApi126,2020-10-12T07:48:32.000Z,"Pilih Ekonomi atau Kesehatan di saat Pandemi Tuan Korona Global semakin meningjat  ? ... 
Kenapa RUU Omnibus Law Cipta Kerja terlalu cepat di Sah kan menjadi Undang - Undang oleh DPR RI   ?...",,,,
MutiaAndini,@MutiaAn47390531,2020-10-16T05:46:25.000Z,"Pahami substansinya biar tidak terprovokasi

#RUUCiptaKerja",,1,,
Mata Najwa,@MataNajwa,2020-10-15T02:10:07.000Z,"Membalas 
@MataNajwaMata Najwa - Cipta Kerja: Mana Fakta Mana Dusta (Part 4)
https://bit.ly/33Yyifq

Polemik seputar langkah pemerintah yang melabeli protes publik terhadap RUU Cipta Kerja sebagai hoaks, kata Menkominfo: “Kalau pemerintah bilang hoaks, ya hoaks”.",,4,12,38
